customer_id,Q01,Q02_1,Q02_2,Q02_3,Q02_4,Q02_5,Q02_6,Q02_7,Q03_1,Q03_2,Q03_3,Q03_4,Q03_5,Q03_6,Q03_7,Q04_1,Q04_2,Q04_3,Q04_4,Q04_5,Q04_6,Q04_7,Q04_8,Q04_9,Q04_10,Q05,Q06,Q07_1,Q07_2,Q07_3,Q07_4,Q07_5,Q07_6,Q07_7,Q07_8,Q07_9,Q07_10,Q08
484,45 - 49,No,No,No,No,No,No,No,5,2,5,2,4,5,4,3,5,5,2,2,1,2,1,3,5,10,3,2,4,1,2,3,4,1,3,4,1,2
447,45 - 49,No,No,No,No,Yes,No,No,3,3,3,3,2,4,5,5,3,3,1,4,2,3,3,4,1,1,3,5,2,1,2,2,5,1,1,1,1,1
37,18 - 24,No,No,No,No,No,Yes,No,5,3,3,4,5,5,3,2,3,5,2,4,2,4,4,2,2,6,3,2,5,1,5,4,5,1,1,1,1,3
139,18 - 24,No,No,No,Yes,No,Yes,No,3,3,5,2,5,2,4,5,5,4,5,4,1,4,3,2,1,10,2,1,1,1,5,3,3,1,4,5,1,2
93,18 - 24,No,No,No,No,Yes,Yes,No,5,2,4,4,3,3,1,5,5,3,5,4,1,5,4,4,5,9,1,4,4,1,4,4,3,1,4,4,1,5
73,35 - 44,Yes,No,No,No,Yes,No,No,1,4,5,1,4,4,1,2,2,4,5,1,5,2,4,2,1,6,2,4,3,2,1,2,5,1,3,3,1,3
115,50 +,No,Yes,Yes,No,No,Yes,Yes,3,1,1,4,4,2,4,3,3,4,1,4,4,4,1,5,2,7,4,5,4,2,3,1,1,1,1,5,1,2
300,18 - 24,No,No,No,No,Yes,No,No,5,5,3,4,2,1,2,5,5,4,2,4,2,2,4,3,2,8,2,1,1,2,5,3,3,1,3,4,1,3
162,45 - 49,No,No,No,Yes,No,Yes,No,2,5,4,1,5,1,1,5,3,2,4,3,1,2,5,2,1,1,1,2,4,2,5,3,1,1,4,1,1,2
9,35 - 44,No,No,Yes,Yes,No,Yes,No,4,4,2,2,4,3,2,1,3,4,4,4,5,1,3,4,4,8,1,1,4,2,3,5,4,1,4,5,1,2
147,18 - 24,No,No,Yes,No,No,Yes,No,3,4,1,5,2,5,1,2,5,3,2,5,3,5,2,5,4,2,3,5,2,2,3,3,4,1,1,3,1,5
64,18 - 24,No,No,No,No,No,Yes,No,4,4,4,2,5,3,4,5,3,2,5,3,3,2,2,5,2,1,5,1,2,3,3,2,4,1,3,5,1,4
299,25 - 34,No,No,No,No,Yes,No,Yes,3,4,2,2,4,4,1,1,3,4,5,4,2,4,3,5,5,4,5,3,5,3,4,2,3,1,2,3,1,2
219,18 - 24,No,No,Yes,No,No,Yes,No,2,3,5,3,5,5,2,3,5,4,5,4,5,1,3,2,3,8,4,5,5,3,4,3,5,1,5,1,1,5
317,35 - 44,No,No,No,No,No,No,No,4,1,2,1,1,5,5,2,5,2,4,5,2,2,3,4,1,0,1,3,4,3,2,3,1,1,2,3,1,3
365,18 - 24,No,No,No,No,No,No,No,1,5,5,4,1,2,2,1,4,4,4,4,2,4,3,2,4,9,1,2,3,3,4,4,2,1,4,2,1,3
97,35 - 44,No,Yes,Yes,No,No,No,No,3,2,2,4,3,1,1,2,4,5,5,4,5,3,2,4,5,9,4,1,5,3,2,4,1,1,3,1,1,4
141,18 - 24,No,No,Yes,Yes,No,Yes,No,3,2,2,1,2,3,4,3,3,3,5,4,3,3,3,3,2,6,4,4,3,1,5,3,5,1,2,1,1,4
312,45 - 49,No,No,No,No,No,Yes,No,1,1,1,1,3,3,4,4,5,1,4,3,5,2,1,4,2,7,2,1,1,2,5,3,1,1,4,3,1,2
340,45 - 49,No,No,No,No,Yes,Yes,No,2,1,2,1,4,2,2,2,3,2,3,4,3,5,4,3,5,9,4,5,1,5,1,1,4,1,1,1,1,4
