question,parent_question,short_description,survey_question,question_type
Q01,Q01,Age,What is your age?,categorical
Q02_1,Q02,Have you ever: Celebrated your cat's birthday and/or adoption date?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_2,Q02,Have you ever: Included your cat in a holiday card?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_3,Q02,Have you ever: Taken your cat shopping with you?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_4,Q02,Have you ever: Talked to your cat?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_5,Q02,Have you ever: Upload a picture or video of your cat to social media?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_6,Q02,Have you ever: Purchased clothing for your cat? Includes holiday costumes.,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q02_7,Q02,Have you ever: Left the TV on for your cat?,Please check all the items below that pertain to you and your cat. Have you ever:,checkbox
Q03_1,Q03,Reasons for owning a cat: Brings my family closer together,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_2,Q03,Reasons for owning a cat: Relaxation/relieves stress,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_3,Q03,Reasons for owning a cat: Keeps bugs/rodents away,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_4,Q03,Reasons for owning a cat: Security,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_5,Q03,Reasons for owning a cat: Companionship/love/company,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_6,Q03,Reasons for owning a cat: Walking/jogging/exercise,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q03_7,Q03,Reasons for owning a cat: They keep me entertained,"When thinking about the reasons for owning a cat, how important are the following, where 1 is Not Important and 5 is Extremely Important?",likert
Q04_1,Q04,Importance: Has convenient locations,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_2,Q04,Importance: Offers the lowest prices,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_3,Q04,Importance: Store employees are very knowledgeable,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_4,Q04,Importance: It's easy to find what I'm looking for,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_5,Q04,Importance: Has a great rewards/loyalty program,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_6,Q04,Importance: Carries high quality products/brands,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_7,Q04,Importance: Is always clean and organized,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_8,Q04,Importance: Carries the specific brands I'm looking for,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_9,Q04,Importance: Offers a wide variety of products/brands at different price points,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q04_10,Q04,Importance: Offers free treats at checkout ,"Still thinking about shopping for your cat, please tell us how important each of the following features are when it comes to choosing where you shop,where 1 is Not Important and 5 is Extremely Important?",likert
Q05,Q05,NPS (Likelihood to Recommend),How likely are you to recommend Feline Good Cat Boutique to your friends and family?,nps
Q06,Q06,Overall Satisfaction,"Overall, how satisfied have you been with your purchases at Feline Good Cat Boutique?",likert
Q07_1,Q07,Satisfaction: Has convenient locations,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_2,Q07,Satisfaction: Offers the lowest prices,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_3,Q07,Satisfaction: Store employees are very knowledgeable,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_4,Q07,Satisfaction: It's easy to find what I'm looking for,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_5,Q07,Satisfaction: Has a great rewards/loyalty program,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_6,Q07,Satisfaction: Carries high quality products/brands,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_7,Q07,Satisfaction: Is always clean and organized,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_8,Q07,Satisfaction: Carries the specific brands I'm looking for,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_9,Q07,Satisfaction: Offers a wide variety of products/brands at different price points,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q07_10,Q07,Satisfaction: Offers free treats at checkout ,"How much do you agree or disagree with each of the following statements when it comes to shopping at Feline Good Cat Boutique for products for your cat, where 1 is Strongly Disagree and 5 is Strongly Agree?",likert
Q08,Q08,Likelihood to Purchase,How likely are you to shop at Feline Good Cat Boutique in the next 12 months?,likert
